nct_id,title,status,phase,conditions,keywords,interventions
NCT07063212,A Study of Sacituzumab Govitecan in Combination With Cetuximab in People With Head and Neck Squamous Cell Cancer (HNSCC),RECRUITING,PHASE2,Squamous Cell Carcinoma of Head and Neck | Sinus Cancer | Nasal Cavity Cancer | Oral Cavity Cancer | Oropharynx Cancer | Hypopharynx Cancer | Larynx Cancer | Oral Squamous Cell Carcinoma | Oropharynx Squamous Cell Carcinoma | Hypopharynx Squamous Cell Carcinoma | Larynx Squamous Cell Carcinoma | HPV Positive Oropharyngeal Squamous Cell Carcinoma,Squamous Cell Carcinoma of Head and Neck | Sinus Cancer | Nasal Cavity Cancer | Oral Cavity Cancer | Oropharynx Cancer | Hypopharynx Cancer | Larynx Cancer | Oral Squamous Cell Carcinoma | Oropharynx Squamous Cell Carcinoma | Hypopharynx Squamous Cell Carcinoma | Larynx Squamous Cell Carcinoma | HPV Positive Oropharyngeal Squamous Cell Carcinoma | Sacituzumab Govitecan | 25-094 | Memorial Sloan Kettering Cancer Center,Sacituzumab Govitecan | Cetuximab
NCT06247826,Mechanisms of Resistance to Amivantamab in Patients With NSCLC With EGFR Exon 20 Insertion,RECRUITING,NA,Non-small Cell Lung Cancer | EGFR Exon 20 Insertion Mutation,,Blood sampling
NCT04920708,"Fulvestrant, Ipatasertib and CDK4/6 Inhibition in Metastatic ER+/HER2- Breast Cancer Patients Without ctDNA Suppression",ACTIVE_NOT_RECRUITING,PHASE2,Metastatic Breast Cancer | ER+ Breast Cancer | Advanced Breast Cancer,Fulvestrant | Palbociclib | Ipatasertib | ctDNA,Ipatasertib 300mg | Fulvestrant 500g | Palbociclib 75mg-125mg | CDK4/6 Inhibitor
NCT06253871,A Phase 1/1b Study of IAM1363 in HER2 Cancers,RECRUITING,PHASE1,HER2 Mutation-Related Tumors | HER2 | HER2-positive Breast Cancer | HER2 + Breast Cancer | Brain Metastases From Solid Tumors | Brain Metastases From HER2 and Breast Cancer | CNS Metastases | HER2-Positive Solid Tumors | NSCLC (Non-small Cell Lung Cancer) | HER2-positive Bladder Cancer | HER2-positive Colorectal Cancer | HER2 + Gastric Cancer | HER2-positive Gastroesophageal Cancer,"ERBB2 protein, human | Molecular Targeted Therapy | Genes, erbB-2 | Receptor, ErbB-2 / antagonists &amp;amp; inhibitors | Neoplasms / drug therapy | HER2 positive | HER2 overexpressing | HER2 altered | Human epidermal growth factor receptor | ErbB Receptors | HER2 | brain metastases",IAM1363
NCT06924398,Postoperative EGFR-TKI Therapy forContralateral Pulmonary Nodules in Patients With EGFR-Mutant NSCLC（ARMOR2501）,RECRUITING,PHASE2,Lung Cancer (NSCLC),Lung Cancer,Postoperative EGFR-TKI Therapy
NCT05382585,Newer Therapeutic Targets in Head and Neck Cancers,RECRUITING,NA,Head Neck Cancer | Oral Cancer,Next generation sequencing | predictive biomarker,Next generation Sequencing
NCT06567015,Study of FIH of STX-241 in Locally Advanced or Metastatic NSCLC Resistant to EGFR TKIs,RECRUITING,"PHASE1, PHASE2",Non-small Cell Lung Cancer (NSCLC),non-small cell lung cancer,STX-241
NCT07043725,A Clinical Study of Neoadjuvant Treatment With TQB2102 for Injection for Human Epidermal Growth Factor Receptor 2 (HER2) Positive Breast Cancer,RECRUITING,PHASE3,HER2-positive Breast Cancer,,TQB2102 for injection | Trastuzumab injection and Pertuzumab Injection and Docetaxel Injection and Carboplatin Injection
NCT05654532,Study of AC699 in Patients With Estrogen Receptor Positive/Human Epidermal Growth Factor Receptor 2 Negative (ER+/HER2-) Locally Advanced or Metastatic Breast Cancer,ACTIVE_NOT_RECRUITING,PHASE1,Breast Cancer,Breast Cancer | Estrogen receptor-positive breast cancer | ER positive | ER+ | Human epidermal growth factor receptor 2 negative | HER2 negative breast cancer | HER2- | AC699 | Metastatic breast cancer | MBC | Locally advanced breast cancer | ER chimeric degrader | ER degrader,AC699
NCT04077463,A Study of Lazertinib as Monotherapy or in Combination With Amivantamab in Participants With Advanced Non-small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,PHASE1,"Carcinoma, Non-Small-Cell Lung",,Lazertinib | Amivantamab | Carboplatin | Pemetrexed
NCT07070232,"A Clinical Study to Test if an Investigational Treatment Called BNT326 is Safe and Potentially Beneficial When Used Alone or in Combination With Other Investigational Treatments Such as BNT327, for People With Advanced Malignant Tumors",RECRUITING,"PHASE1, PHASE2",Advanced Solid Tumor,Combination with other investigational agents | Programmed death-ligand 1 (PD-L1) | Antibody-drug conjugate (ADC) | Human epidermal growth factor receptor 3 (HER3) | Programmed Death-1 (PD-1) | Programmed Death-1 monoclonal antibodies | Combination chemotherapy | Anti vascular endothelial growth factor-A (anti-VEGF-A) | Bispecific antibody | Immunotherapy | Dose optimization | Time to progression | Vascular endothelial growth factor (VEGF) | Cutaneous Melanoma | Rare melanoma | Actionable oncogenic alterations (AGA)-negative non-small cell lung cancer (NSCLC) | Epithelial growth factor receptor mutated (EGFRm) NSCLC | Gastric cancer (GC) | Gastroesophageal junction cancer (GEJC),BNT326 | Pumitamig | Itraconazole | Paroxetine
